jobtitle,joblocation,jobsalary,company,jobtype,posted_date,jobsummary
ML Research Scientist,"San Francisco, CA 94105",NaN,Northbridge Analytics,Full-time,2026-02-26,"Role Summary:
Northbridge Analytics is seeking a ML Research Scientist to help design, build, and improve data-driven solutions across the organization.

In collaboration with cross-functional teams, you will partner with product, engineering, and business stakeholders to translate ambiguous questions into well-defined analytical projects and production-ready models.

Basic Qualifications:
- 1+ years of experience in data science, analytics, or a related field.
- Hands-on experience with Python or R and strong SQL skills.
- Solid understanding of statistics, experimentation, and model evaluation.
- Ability to work independently and communicate clearly in a fast-paced environment.

Preferred Qualifications:
- Experience with cloud data platforms and modern analytics tooling.
- Background in a high-growth technology, finance, healthcare, or e-commerce environment.

What we offer:
- Competitive compensation and comprehensive health benefits.
- Flexible work arrangements and support for learning and development.
- An inclusive culture that values curiosity, collaboration, and diverse perspectives.
- Opportunities to attend conferences and share your work with the community.

Northbridge Analytics is an equal opportunity employer and is committed to building an inclusive workplace. We welcome applicants from all backgrounds."
Quantitative Data Scientist,"Boston, MA 02110","$90,851 - $150,580 a year",Summit Analytics,Contract,2025-12-13,"Role Summary:
Summit Analytics is seeking a Quantitative Data Scientist to help design, build, and improve data-driven solutions across the organization.

The Quantitative Data Scientist will partner with product, engineering, and business stakeholders to translate ambiguous questions into well-defined analytical projects and production-ready models.

Key responsibilities:
- Explore and prepare large, complex datasets from various internal and external sources.
- Develop, evaluate, and iterate on statistical and machine learning models.
- Communicate findings, assumptions, and limitations to technical and non-technical audiences.
- Design and analyze experiments to measure the impact of new features or interventions.

Minimum qualifications:
- 1+ years of experience in data science, analytics, or a related field.
- Hands-on experience with Python or R and strong SQL skills.
- Solid understanding of statistics, experimentation, and model evaluation.
- Ability to work independently and communicate clearly in a fast-paced environment.

Preferred Qualifications:
- Experience with cloud data platforms and modern analytics tooling.
- Background in a high-growth technology, finance, healthcare, or e-commerce environment.

What we offer:
- Competitive compensation and comprehensive health benefits.
- Flexible work arrangements and support for learning and development.
- An inclusive culture that values curiosity, collaboration, and diverse perspectives.

Summit Analytics is an equal opportunity employer and is committed to building an inclusive workplace. We welcome applicants from all backgrounds."
Data Scientist,"Dallas, TX 75201",NaN,Brightline AI,Full-time,2025-11-28,"Position Overview:
Brightline AI is looking for a Data Scientist to join our growing team and drive data-informed decision making.

The Data Scientist will partner with product, engineering, and business stakeholders to translate ambiguous questions into well-defined analytical projects and production-ready models.

Key responsibilities:
- Explore and prepare large, complex datasets from various internal and external sources.
- Develop, evaluate, and iterate on statistical and machine learning models.
- Communicate findings, assumptions, and limitations to technical and non-technical audiences.

Required qualifications:
- 1+ years of experience in data science, analytics, or a related field.
- Hands-on experience with Python or R and strong SQL skills.
- Solid understanding of statistics, experimentation, and model evaluation.
- Ability to work independently and communicate clearly in a fast-paced environment.

Preferred Qualifications:
- Experience with cloud data platforms and modern analytics tooling.
- Background in a high-growth technology, finance, healthcare, or e-commerce environment.

What we offer:
- Competitive compensation and comprehensive health benefits.
- Flexible work arrangements and support for learning and development.
- An inclusive culture that values curiosity, collaboration, and diverse perspectives.

Brightline AI is an equal opportunity employer and is committed to building an inclusive workplace. We welcome applicants from all backgrounds."
Senior Data Scientist,"Atlanta, GA 30303","$138,520 - $171,803 a year",SignalPath Data,Part-time,2026-02-28,"About the Role:
SignalPath Data is seeking a Senior Data Scientist to help design, build, and improve data-driven solutions across the organization.

In this role, you will partner with product, engineering, and business stakeholders to translate ambiguous questions into well-defined analytical projects and production-ready models.

What you will do:
- Explore and prepare large, complex datasets from various internal and external sources.
- Develop, evaluate, and iterate on statistical and machine learning models.
- Communicate findings, assumptions, and limitations to technical and non-technical audiences.

Basic Qualifications:
- 5+ years of experience in data science, machine learning, or a related field.
- Hands-on experience with Python or R and strong SQL skills.
- Solid understanding of statistics, experimentation, and model evaluation.
- Ability to work independently and communicate clearly in a fast-paced environment.

Preferred Qualifications:
- Experience with cloud data platforms and modern analytics tooling.
- Background in a high-growth technology, finance, healthcare, or e-commerce environment.

Benefits:
- Competitive compensation and comprehensive health benefits.
- Flexible work arrangements and support for learning and development.
- An inclusive culture that values curiosity, collaboration, and diverse perspectives."
ML Research Scientist,"Seattle, WA 98101",$101 - $123 an hour,Northbridge Analytics,Contract,2026-03-18,"Role Summary:
Northbridge Analytics is seeking a ML Research Scientist to help design, build, and improve data-driven solutions across the organization.

In collaboration with cross-functional teams, you will partner with product, engineering, and business stakeholders to translate ambiguous questions into well-defined analytical projects and production-ready models.

Key responsibilities:
- Explore and prepare large, complex datasets from various internal and external sources.
- Develop, evaluate, and iterate on statistical and machine learning models.
- Communicate findings, assumptions, and limitations to technical and non-technical audiences.
- Design and analyze experiments to measure the impact of new features or interventions.

Nice to have:
- Experience with cloud data platforms and modern analytics tooling.
- Background in a high-growth technology, finance, healthcare, or e-commerce environment.

Why you’ll love working here:
- Competitive compensation and comprehensive health benefits.
- Flexible work arrangements and support for learning and development.
- An inclusive culture that values curiosity, collaboration, and diverse perspectives.

Northbridge Analytics is an equal opportunity employer and is committed to building an inclusive workplace. We welcome applicants from all backgrounds."
Computer Vision Engineer,"Los Angeles, CA 90017",NaN,Summit Analytics,Remote,2026-03-09,"Job Summary:
Summit Analytics is looking for a Computer Vision Engineer to join our growing team and drive data-informed decision making.

In this role, you will partner with product, engineering, and business stakeholders to translate ambiguous questions into well-defined analytical projects and production-ready models.

Responsibilities:
- Explore and prepare large, complex datasets from various internal and external sources.
- Develop, evaluate, and iterate on statistical and machine learning models.
- Communicate findings, assumptions, and limitations to technical and non-technical audiences.
- Build and maintain pipelines and services that make data and models available at scale.
- Design and analyze experiments to measure the impact of new features or interventions.

Basic Qualifications:
- 1+ years of experience in data science, analytics, or a related field.
- Hands-on experience with Python or R and strong SQL skills.
- Solid understanding of statistics, experimentation, and model evaluation.
- Ability to work independently and communicate clearly in a fast-paced environment.

Preferred experience:
- Experience with cloud data platforms and modern analytics tooling.
- Background in a high-growth technology, finance, healthcare, or e-commerce environment.
- Experience with image or video data and deep learning frameworks.

Benefits:
- Competitive compensation and comprehensive health benefits.
- Flexible work arrangements and support for learning and development.
- An inclusive culture that values curiosity, collaboration, and diverse perspectives.

Summit Analytics is an equal opportunity employer and is committed to building an inclusive workplace. We welcome applicants from all backgrounds."
Applied Scientist,"Boston, MA 02110","$160,381 - $219,590 a year",Northbridge Analytics,Full-time,2026-02-20,"About the Role:
Northbridge Analytics is looking for a Applied Scientist to join our growing team and drive data-informed decision making.

As a Applied Scientist, you will partner with product, engineering, and business stakeholders to translate ambiguous questions into well-defined analytical projects and production-ready models.

What you will do:
- Explore and prepare large, complex datasets from various internal and external sources.
- Develop, evaluate, and iterate on statistical and machine learning models.
- Communicate findings, assumptions, and limitations to technical and non-technical audiences.

Required qualifications:
- 1+ years of experience in data science, analytics, or a related field.
- Hands-on experience with Python or R and strong SQL skills.
- Solid understanding of statistics, experimentation, and model evaluation.
- Ability to work independently and communicate clearly in a fast-paced environment.

Preferred experience:
- Experience with cloud data platforms and modern analytics tooling.
- Background in a high-growth technology, finance, healthcare, or e-commerce environment.

Benefits:
- Competitive compensation and comprehensive health benefits.
- Flexible work arrangements and support for learning and development.
- An inclusive culture that values curiosity, collaboration, and diverse perspectives.

Northbridge Analytics is an equal opportunity employer and is committed to building an inclusive workplace. We welcome applicants from all backgrounds."
Applied Scientist,"Washington, DC 20001",NaN,Riverstone Data,Full-time,2026-02-07,"Role Summary:
Riverstone Data is seeking a Applied Scientist to help design, build, and improve data-driven solutions across the organization.

In collaboration with cross-functional teams, you will partner with product, engineering, and business stakeholders to translate ambiguous questions into well-defined analytical projects and production-ready models.

Responsibilities:
- Explore and prepare large, complex datasets from various internal and external sources.
- Develop, evaluate, and iterate on statistical and machine learning models.
- Communicate findings, assumptions, and limitations to technical and non-technical audiences.

Minimum qualifications:
- 1+ years of experience in data science, analytics, or a related field.
- Hands-on experience with Python or R and strong SQL skills.
- Solid understanding of statistics, experimentation, and model evaluation.
- Ability to work independently and communicate clearly in a fast-paced environment.

Preferred Qualifications:
- Experience with cloud data platforms and modern analytics tooling.
- Background in a high-growth technology, finance, healthcare, or e-commerce environment.

What we offer:
- Competitive compensation and comprehensive health benefits.
- Flexible work arrangements and support for learning and development.
- An inclusive culture that values curiosity, collaboration, and diverse perspectives."
Data Scientist,"Chicago, IL 60601",NaN,Parallel Orbit,Full-time,2026-01-23,"Overview:
Parallel Orbit is seeking a Data Scientist to help design, build, and improve data-driven solutions across the organization.

In collaboration with cross-functional teams, you will partner with product, engineering, and business stakeholders to translate ambiguous questions into well-defined analytical projects and production-ready models.

What you will do:
- Explore and prepare large, complex datasets from various internal and external sources.
- Develop, evaluate, and iterate on statistical and machine learning models.
- Communicate findings, assumptions, and limitations to technical and non-technical audiences.
- Design and analyze experiments to measure the impact of new features or interventions.

Minimum qualifications:
- 1+ years of experience in data science, analytics, or a related field.
- Hands-on experience with Python or R and strong SQL skills.
- Solid understanding of statistics, experimentation, and model evaluation.
- Ability to work independently and communicate clearly in a fast-paced environment.

Preferred experience:
- Experience with cloud data platforms and modern analytics tooling.
- Background in a high-growth technology, finance, healthcare, or e-commerce environment.

What we offer:
- Competitive compensation and comprehensive health benefits.
- Flexible work arrangements and support for learning and development.
- An inclusive culture that values curiosity, collaboration, and diverse perspectives.
- Opportunities to attend conferences and share your work with the community."
Quantitative Data Scientist,"Dallas, TX 75201",NaN,Vertex Insights,Full-time,2025-12-31,"About the Role:
Vertex Insights is looking for a Quantitative Data Scientist to join our growing team and drive data-informed decision making.

In collaboration with cross-functional teams, you will partner with product, engineering, and business stakeholders to translate ambiguous questions into well-defined analytical projects and production-ready models.

Day-to-day you will:
- Explore and prepare large, complex datasets from various internal and external sources.
- Develop, evaluate, and iterate on statistical and machine learning models.
- Communicate findings, assumptions, and limitations to technical and non-technical audiences.
- Design and analyze experiments to measure the impact of new features or interventions.

Basic Qualifications:
- 1+ years of experience in data science, analytics, or a related field.
- Hands-on experience with Python or R and strong SQL skills.
- Solid understanding of statistics, experimentation, and model evaluation.
- Ability to work independently and communicate clearly in a fast-paced environment.

Preferred Qualifications:
- Experience with cloud data platforms and modern analytics tooling.
- Background in a high-growth technology, finance, healthcare, or e-commerce environment.

Benefits:
- Competitive compensation and comprehensive health benefits.
- Flexible work arrangements and support for learning and development.
- An inclusive culture that values curiosity, collaboration, and diverse perspectives.
- Opportunities to attend conferences and share your work with the community.

Vertex Insights is an equal opportunity employer and is committed to building an inclusive workplace. We welcome applicants from all backgrounds."
